split,Method,seed,F1,Recall,Precision,AUC,Threshold,Coverage,Gray Ratio,LLM Call Rate
test_main,RF (Base),0,0.8494580489763147,0.7557142857142857,0.9697525206232814,0.8825866071428572,0.4,1.0,,
test_main,RF (Base),1,0.8510722795869737,0.7653571428571428,0.9584078711985689,0.8806376488095238,0.38,1.0,,
test_main,RF (Base),2,0.8513593967056956,0.7660714285714286,0.9580169718624386,0.8804034226190476,0.38,1.0,,
test_main,RF (Base),3,0.8516385302879841,0.7657142857142857,0.9592841163310962,0.8819209821428571,0.38,1.0,,
test_main,RF (Base),4,0.8519029777164268,0.7714285714285715,0.95112285336856,0.8807793154761905,0.36,1.0,,
test_main,XGB (Base),0,0.8531635495423796,0.7657142857142857,0.963162623539982,0.8856467261904761,0.32,1.0,,
test_main,XGB (Base),1,0.8524915624379591,0.7667857142857143,0.959767545820295,0.8815645833333333,0.32,1.0,,
test_main,XGB (Base),2,0.8526732673267327,0.7689285714285714,0.9568888888888888,0.8837394345238095,0.31,1.0,,
test_main,XGB (Base),3,0.8578670306102554,0.7857142857142857,0.94461142121082,0.8813941964285714,0.29,1.0,,
test_main,XGB (Base),4,0.8530636525877454,0.7682142857142857,0.958983504235399,0.881671875,0.32,1.0,,
test_main,TCN (Base),0,0.7946542214679677,0.6689285714285714,0.9785788923719958,0.8328790281654402,0.44,0.9815,,
test_main,TCN (Base),1,0.7872248597324126,0.6514285714285715,0.9945474372955287,0.842033113422989,0.99,0.9815,,
test_main,TCN (Base),2,0.7936643835616438,0.6621428571428571,0.9903846153846154,0.8362607840649581,0.59,0.9815,,
test_main,TCN (Base),3,0.8010887772194305,0.6832142857142857,0.9681174089068826,0.8321361963968537,0.5700000000000001,0.9815,,
test_main,TCN (Base),4,0.8012671594508975,0.6775,0.9803617571059432,0.8502199632073077,0.8300000000000001,0.9815,,
main,UTAR (Proposed),0,0.8684734954165007,0.7782142857142857,0.9824165915238954,,,,0.419,0.2235
main,UTAR (Proposed),1,0.8348076527463485,0.7246428571428571,0.9844735565259582,,,,0.93575,0.266
main,UTAR (Proposed),2,0.8674166331860185,0.7710714285714285,0.9912764003673096,,,,0.927,0.26875
main,UTAR (Proposed),3,0.8659217877094972,0.775,0.981012658227848,,,,0.9265,0.277
main,UTAR (Proposed),4,0.8386303055156858,0.7303571428571428,0.9845931632161772,,,,0.93225,0.27075
